#,ALPHABETICAL,Count: 35,Trace 1,Trace 2,Tracks,Spoor,Omen,Encounter,,Arctic,Desert,Wood,Hills,Jungle,Mountain,Plains,Swamp,City,Sea,Cave,Astral,Chaos,Death,Law,Fey,Magic,Air,Earth,Fire,Water,variation 1,variation 2,variation 3,variation 4,variation 5,variation 6,Link,room 1 generic,room 2 sleep,room 3 eat,room 4 work,room 5 trap,room 6 boss
0011,WIZARD - War,WAR WIZARD,You notice a broken fragment of a crystal vial.,You find a loose page of what must have been a treatise on arcane magic. Half the text is unreadable.,There's energy in the air. You can feel magic has been cast here recently.,One of the creatures of this dungeon lies incapacitated by magic.,You hear a voice chanting the words of an arcane incantation nearby!,1 Wizard.,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a <a href='/monsters/wizard'>ROYAL WAR WIZARD</a> garrison,a <a href='/monsters/wizard'>WAR WIZARD</a> batallion hunting rebels,a <a href='/monsters/wizard'>WAR WIZARD</a> academy,a legion of <a href='/monsters/wizard'>WAR WIZARDS</a> pacifying the land,<a href='/monsters/wizard'>WAR WIZARDS</a> overseeing the construction of a fortress,two <a href='/monsters/wizard'>WAR WIZARD</a> factions battling each other,<a href='/monsters/wizard'>WAR WIZARDS</a>,,,,,,
0012,WIZARD - High,HIGH MAGE,You notice a broken fragment of a crystal vial.,You find a loose page of what must have been a treatise on arcane magic. Half the text is unreadable.,There's energy in the air. You can feel magic has been cast here recently.,One of the creatures of this dungeon lies incapacitated by magic.,You hear a voice chanting the words of an arcane incantation nearby!,1 Wizard.,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,the council of <a href='/monsters/wizard'>HIGH MAGES</a>,<a href='/monsters/wizard'>ELVEN HIGH MAGES</a> observing the cosmos,the last elven <a href='/monsters/wizard'>HIGH MAGES</a>,nostalgic elven <a href='/monsters/wizard'>HIGH MAGES</a>,<a href='/monsters/wizard'>ELVEN HIGH MAGES</a> in stasis,philosophizing <a href='/monsters/wizard'>HIGH MAGES</a>,<a href='/monsters/wizard'>HIGH MAGES</a>,,,,,,
0013,WIZARD - Spelljammer,SPELLJAMMER CAPTAIN,You notice a broken fragment of a crystal vial.,You find a loose page of what must have been a treatise on arcane magic. Half the text is unreadable.,There's energy in the air. You can feel magic has been cast here recently.,One of the creatures of this dungeon lies incapacitated by magic.,You hear a voice chanting the words of an arcane incantation nearby!,1 Wizard.,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,merchant <a href='/monsters/wizard'>SPELLJAMMER SHIPS</a> from rdmPLANE,armed <a href='/monsters/wizard'>SPELLJAMMER SHIPS</a>,<a href='/monsters/wizard'>SPELLJAMMER SHIPS</a> exploring new horizons,a <a href='/monsters/wizard'>SPELLJAMMER FLEET</a>,<a href='/monsters/wizard'>WIZARDS</a> commanding SPELLJAMMER SHIPS,massive <a href='/monsters/wizard'>SPELLJAMMER SHIPS</a>,<a href='/monsters/wizard'>SPELLJAMMER SHIPS</a>,,,,,,
0014,BOAR,BOAR,Upturned earth reveals clusters of chewed roots here.,The vegetation has recently been flattened here.,Muddy cloven hoof tracks lead further along the path.,A hole has recently been dug up here.,Sniffing and chewing noises are getting closer!,1D6 boars or 1D4 giant boars,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,stubborn <a href='/monsters/boar'>rdmSIZE BOARS</a>,DIRTY <a href='/monsters/boar'>rdmSIZE  BOARS</a>,<a href='/monsters/boar'>rdmSIZE BOARS</a> that will eat anything,delicious <a href='/monsters/boar'>rdmSIZE BOARS</a>,<a href='/monsters/boar'>rdmSIZE BOARS</a> that can smell rare mushrooms,<a href='/monsters/boar'>rdmSIZE BOARS</a> that are sacred to the locals,<a href='/monsters/boar'>BOARS</a>,,,,,,
0015,ELEMENTAL - Earth,EARTH ELEMENTAL,Jagged rocks piercing the ground attract your attention.,The earth shakes for a few seconds.,Many things are oddly half-sunken into the ground along the path forward.,The area has recently been completely flattened by something heavy.,A huge rock crashes a few feet in front of you.,1 Earth Elemental,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,<a href='/monsters/elemental-earth'>EARTH ELEMENTALS</a> building a new mountain,<a href='/monsters/elemental-earth'>EARTH ELEMENTALS</a> that want to redirect the wind elsewhere,<a href='/monsters/elemental-earth'>EARTH ELEMENTALS</a> filling a crater with dirt,<a href='/monsters/elemental-earth'>EARTH ELEMENTALS</a> filling all water sources with dirt,<a href='/monsters/elemental-earth'>EARTH ELEMENTALS</a> protecting a mysterious cave,<a href='/monsters/elemental-earth'>EARTH ELEMENTALS</a> longing to go return to rdmEARTH,<a href='/monsters/elemental-earth'>EARTH ELEMENTALS</a>,,,,,,
0016,BASILISK,BASILISK,You notice the petrified body of a cowering rat.,What you thought was a statue seems far too uncanny to be the work of a sculptor.,The tracks of two big lizards walking in file lead deeper into the dungeon.,A broken statue in this room seems to be bleeding.,You have the uncanny feeling of being observed. Your body is starting to feel numb.,1 Basilisk.,,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,deadly <a href='/monsters/basilisk'>BASILISKS</a>,<a href='/monsters/basilisk'>BASILISKS</a> nesting in the driest spots,<a href='/monsters/basilisk'>BASILISKS</a> said to gaze into rdmEARTH,a <a href='/monsters/basilisk'>GIANT BASILISK</a> worshipped by the locals,<a href='/monsters/basilisk'>BASILISKS</a> guarding their statue gardens,<a href='/monsters/basilisk'>BASILISKS</a> that are sacred to the locals,<a href='/monsters/basilisk'>BASILISKS</a>,,,,,,
0017,BAT,BAT,You notice a single sleeping bat on the ceiling.,Some objects in the area are soiled by bat guano.,You hear the distinctive screeches of bats from further inside the dungeon.,1D10 stranded bats flutter around.,A cacophony of bat screeches is getting closer.,2 BAT SWARMS.,,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,nocturnal <a href='/monsters/bat'>BATS</a>,vampiric <a href='/monsters/bat'>BATS</a>,disease-ridden <a href='/monsters/bat'>BATS</a>,ominous <a href='/monsters/bat'>BATS</a>,screeching <a href='/monsters/bat'>BATS</a>,<a href='/monsters/bat'>BATS</a> that are sacred to the locals,<a href='/monsters/bat'>BATS</a>,,,,,,
0018,CAT - Giant Tressym,GIANT TRESSYM,You hear a feline roar far and high above you.,You notice a ball of hair and feathers.,Big feline tracks lead further ahead before disappearing completely.,A freshly killed animal carcass is hanging from a hard-to-reach place.,You hear a feline roar from above you. It is too close for comfort.,1 Giant Tressym.,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,wise <a href='/monsters/cat-tressym-giant'>WINGED PANTHERS</a>,<a href='/monsters/cat-tressym-giant'>GREATER WINGED CATS</a> known as Tressyms,<a href='/monsters/cat-tressym-giant'>GREATER WINGED CATS</a> favoured by royalty,feline <a href='/monsters/cat-tressym-giant'>GIANT TRESSYMS</a> who speak in riddles,<a href='/monsters/cat-tressym-giant'>GOLDEN WINGED PUMAS</a> known as Jana-Nimr,<a href='/monsters/cat-tressym-giant'>GIANT WINGED CATS</a> that are worshiped by the locals,<a href='/monsters/cat-tressym-giant'>GIANT TRESSYMS</a>,,,,,,
0019,ELEMENTAL - Steam,STEAM ELEMENTAL,Hot steam seem to escape from cracks in the floor here.,This area must have 100% humidity.,A trail of dew leads deeper into the dungeon.,A whimpering creature is dying in the corner. It seems to have been boiled alive.,The air becomes heavy and humid. The temperature rises and droplets appear everywhere.,1 steam elemental.,,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,<a href='/monsters/elemental-steam'>STEAM ELEMENTALS</a> building a wall of fog around the area,<a href='/monsters/elemental-steam'>STEAM ELEMENTALS</a> protecting a sacred hot spring,<a href='/monsters/elemental-steam'>STEAM ELEMENTALS</a> blocking the sky with rain clouds,<a href='/monsters/elemental-steam'>STEAM ELEMENTALS</a> attacking anybody starting a fire,<a href='/monsters/elemental-steam'>STEAM ELEMENTALS</a> eroding the earth,<a href='/monsters/elemental-steam'>STEAM ELEMENTALS</a> longing to go return to rdmWATER,<a href='/monsters/elemental-steam'>STEAM ELEMENTALS</a>,<u><b>MEANDERING STEAM VENT</b></u><br>Calcified crawlspace. Boiling haze. Barely breathable.,<u><b>SULFUROUS HOT SPRINGS</b></u><br>Terrassed natural pools of turquoise water. Faint smell of rotten egg. Dripping noise. Light haze.,<u><b>SIZZLING VOLCANIC POOL</b></u><br>Boiling dark water. 3-feet deep. Big boulder in the middle. Dull red glow. Hissing. Sweating walls.<br><i><br><br>Enough gems at the bottom to fill a purse.</i>,<u><b>MAGICAL STEAM ENGINE</b></u><br>Spherical bronze room. Doors at different height linked by iron ladders and walkways. Echo. Multiple bronze pipes.<br><i>1 steam elemental.<br><br>1 elemental binding orb</i>.,<u><b>PILLAR OF CLOUDS</b></u><br>200 feet high. Slippery wet floating marble platforms. Rumbling thunder and low visibility.<br><i>1 <a href='/monsters/aerial-servant'>AERIAL SERVANT</a></i>.,<u><b>GATE TO THE PLANE OF STEAM</b></u><br>Perfectly circular arch of rune stones. Blue portal spewing huge clouds. Glistening wet floor. Unbearable temperature.<br><i>2 <a href='/monsters/elemental-steam'>STEAM ELEMENTALS</a></i>.
0020,BIRD - Hawk,HAWK,You hear the distinct sound of a faraway hawk.,You find a hawk feather.,There's a tiny dot far ahead in the sky. It must be a bird.,A small rodent falls from the sky. It is dead.,You are startled by the distinctive screech of an hawk.,1 giant hawk.,,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,<a href='/monsters/bird-hawk'>rdmSIZE HAWKS</a> that are prized by military officers,<a href='/monsters/bird-hawk'>rdmSIZE HAWKS</a> that can easily be domesticated,<a href='/monsters/bird-hawk'>rdmSIZE HAWKS</a> patrolling the sky,especially fast <a href='/monsters/bird-hawk'>rdmSIZE HAWKS</a>,proud <a href='/monsters/bird-hawk'>rdmSIZE HAWKS</a>,<a href='/monsters/bird-hawk'>rdmSIZE HAWKS</a> that are sacred to the locals,<a href='/monsters/bird-hawk'>GIANT HAWKS</a>,<u><b>WINDSWEPT CLIFF</b></u><br> Climbable but hard. Stunted shrubs. Bones at the bottom.,<u><b>THIN TALL SPIRE</b></u><br>Eighty feet. Wind-eroded sandstone. Gorgeous panorama. Vertigo inducing. Sky dome.<br><i>1 hawk.<br><br>1D6 hawk eggs</i>.,<u><b>DESOLATED OUTCROP</b></u><br>Rocky open space. Rodent borrows. Clean air.<br><br><i></i>,<u><b>GIANT SPIRE</b></u><br>One-hundred and fifty feet. Wind-eroded sandstone. Gorgeous panorama. Vertigo inducing. Twig and bones nest.<br><i>1 giant hawk.<br><br>1D6 giant hawk eggs</i>.,<u><b>NARROW CLIFFSIDE PATH</b></u><br> Eighty feet above and below. Falling Pebbles. Infrequent bird shrieks in the sky.<br><br><i>Rock fall</i>.,<u><b>HIGHEST PEAK</b></u><br> Two-hundred feet climb. Weathered adventurer bones. Above the clouds. Howling winds.<br><i>1D4 giant hawk.</a><br><br>1 bag of gems.</i>
0021,KNIGHT,KNIGHT,The broken piece of an ornate plate armour lies nearby.,An old tattered banner is planted in the ground.,Heavy foot tracks lead deeper ahead.,One of the most dangerous monsters in the area lies dead in front of you. Slain by the sword.,You can hear the distinctive clanging steps of armored figures approaching.,A knight and its retinue of 1D10 soldiers.,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,<a href='/monsters/knight'>KNIGHTS</a> on a quest to slay a legendary beast,noble <a href='/monsters/knight'>KNIGHTS</a>,<a href='/monsters/knight'>KNIGHTS</a> from across the land competing in a tournament,<a href='/monsters/knight'>HOLY KNIGHTS</a> protecting a sacred site,<a href='/monsters/knight'>KNIGHTS</a> training for battle,<a href='/monsters/knight'>KNIGHTS</a> on a quest to find a legendary artefact,<a href='/monsters/knight'>KNIGHTS</a>,<u><b>HALLOWED HALL</b></u><br> Stern statuary. Echoey stone floor. Massive doors.,<u><b>OSTENTATIOUS BARRACKS</b></u><br> Heraldic banners ; Simple sturdy bunk beds; Utilitarian weapon racks.<br><i>1 sleeping and 1 praying knight.<br><br>1D6 silver coin purses and 1D4 weapons</i>.,<u><b>ROYAL BANQUET</b></u><br> Heraldic banners and ornate torches. Long tables full of juicy leftovers. Barrels of wine. Wooden throne.<br><br><i>2 tapestries worth a bag of gold</i>.,<u><b>COMMAND CENTER</b></u><br> Giant regional map. Marble figurines. Sturdy desk. Framed royal edicts.<br><i>1D4 knights.<br><br>One chest full of silver coins.</i>,<u><b>DRAW BRIDGE</b></u><br> Dungeon-appropriate moat. Proud banners. Observation deck. Alarm bell.<br><br><i>One taunting guard if daytime. One sleepy guard if nightime</i>.,<u><b>SANCTIFIED RELIQUARY</b></u><br> Striking stained glass rosette. Marble knight tomb. Melting candle crust.<br><i>1 <a href='/list/monsters-celestial'>greater divine servant.</a><br><br>1 magic item.</i>
0022,KNIGHT - Astral,ASTRAL KNIGHT,The broken piece of an ornate plate armour lies nearby.,An old tattered banner is planted in the ground.,Heavy foot tracks lead deeper ahead.,One of the most dangerous monsters in the area lies dead in front of you. Slain by the sword.,You can hear the distinctive clanging steps of armored figures approaching.,A knight and its retinue of 1D10 soldiers.,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,<a href='/monsters/knight'>GITHYANKI ASTRAL KNIGHTS</a> planning raids from their fortress,<a href='/monsters/knight'>GITHYANKI KNIGHTS</a> repairing their stranded Astral Galleon,<a href='/monsters/githyanki'>GITHYANKIS</a> running an academy for aspiring <a href='/monsters/knight'>ASTRAL KNIGHTS</a>,<a href='/monsters/knight'>ASTRAL KNIGHTS</a> guarding a portal to rdmPLANE,<a href='/monsters/knight'>FIGHTER-MAGES</a> training in a monastery,<a href='/monsters/knight'>ASTRAL KNIGHTS</a> chasing a cosmic villain,<a href='/monsters/knight'>ASTRAL KNIGHTS</a>,<u><b>HALLOWED HALL</b></u><br> Stern statuary. Echoey stone floor. Massive doors.,<u><b>OSTENTATIOUS BARRACKS</b></u><br> Heraldic banners ; Simple sturdy bunk beds; Utilitarian weapon racks.<br><i>1 sleeping and 1 praying knight.<br><br>1D6 silver coin purses and 1D4 weapons</i>.,<u><b>ROYAL BANQUET</b></u><br> Heraldic banners and ornate torches. Long tables full of juicy leftovers. Barrels of wine. Wooden throne.<br><br><i>2 tapestries worth a bag of gold</i>.,<u><b>COMMAND CENTER</b></u><br> Giant regional map. Marble figurines. Sturdy desk. Framed royal edicts.<br><i>1D4 knights.<br><br>One chest full of silver coins.</i>,<u><b>DRAW BRIDGE</b></u><br> Dungeon-appropriate moat. Proud banners. Observation deck. Alarm bell.<br><br><i>One taunting guard if daytime. One sleepy guard if nightime</i>.,<u><b>SANCTIFIED RELIQUARY</b></u><br> Striking stained glass rosette. Marble knight tomb. Melting candle crust.<br><i>1 <a href='/list/monsters-celestial'>greater divine servant.</a><br><br>1 magic item.</i>
